time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-06T20:14:04.450Z,16.6926,-95.7603,57.59,5,mb,,130,2.819,1.11,us,us10003vcl,2015-11-06T20:35:45.892Z,"30km S of San Miguel Quetzaltepec, Mexico",earthquake
2015-11-06T19:54:50.870Z,15.669,-95.0395,41.08,4.8,mb,,137,3.427,1.19,us,us10003vc8,2015-11-06T20:36:10.145Z,"57km SSE of Salina Cruz, Mexico",earthquake
2015-11-06T19:33:19.420Z,-8.1565,124.9994,51.49,4.4,mb,,118,1.745,0.81,us,us10003vc4,2015-11-06T20:18:14.020Z,"77km NW of Dili, East Timor",earthquake
2015-11-06T18:39:00.060Z,37.4328333,-90.1028333,12.04,2.5,md,49,37,0.3791,0.14,nm,nm60095182,2015-11-06T20:47:53.107Z,"18km NW of Marble Hill, Missouri",earthquake
2015-11-06T17:33:25.250Z,7.1699,125.5398,34.09,4.7,mb,,90,0.106,0.74,us,us10003vb6,2015-11-06T18:48:49.149Z,"2km ENE of Biao, Philippines",earthquake
2015-11-06T16:23:23.910Z,31.7008333,-114.9243333,0.64,2.8,ml,6,154,0.614,0.14,ci,ci37486544,2015-11-06T20:52:59.576Z,"55km S of Estacion Coahuila, B.C., MX",earthquake
2015-11-06T14:58:24.000Z,61.9963,-149.9115,44,3.6,ml,,,,0.85,ak,ak11778415,2015-11-06T20:27:02.476Z,"18km S of Y, Alaska",earthquake
2015-11-06T14:26:50.000Z,61.9882,-149.9082,45.4,4.5,ml,,,,0.79,ak,ak11778117,2015-11-06T21:12:30.576Z,"19km S of Y, Alaska",earthquake
2015-11-06T13:54:50.000Z,51.7172,-173.236,66.6,2.9,ml,,,,0.18,ak,ak11778113,2015-11-06T19:12:49.555Z,"85km SE of Atka, Alaska",earthquake
2015-11-06T13:30:22.440Z,52.1349,-169.3591,21.41,4.5,mb,,143,2.431,0.76,us,us10003v7l,2015-11-06T16:16:17.106Z,"95km SSW of Nikolski, Alaska",earthquake
2015-11-06T11:44:47.680Z,-19.9704,-69.0433,113.44,4.6,mb,,36,0.198,1.49,us,us10003v7a,2015-11-06T19:48:14.310Z,"118km ENE of Iquique, Chile",earthquake
2015-11-06T10:09:14.500Z,17.9283,-68.5185,70,3.1,Md,5,280.8,0.59648135,0.55,pr,pr15310004,2015-11-06T18:11:54.215Z,"50km S of Boca de Yuma, Dominican Republic",earthquake
2015-11-06T09:43:50.170Z,-19.844,-173.4586,10,4.9,mb,,86,3.418,1.43,us,us10003v6u,2015-11-06T17:46:24.293Z,"93km E of Pangai, Tonga",earthquake
2015-11-06T09:08:44.980Z,35.0856667,-116.6423333,0.77,2.58,ml,35,39,0.2538,0.09,ci,ci37486336,2015-11-06T20:05:07.070Z,"20km S of Fort Irwin, California",earthquake
2015-11-06T08:44:07.720Z,-30.1303,-72.2632,10,5.3,mb,,94,0.766,0.83,us,us10003v5a,2015-11-06T20:37:38.040Z,"90km WSW of Coquimbo, Chile",earthquake
2015-11-06T07:12:09.000Z,59.9057,-151.0408,45.2,2.8,ml,,,,0.85,ak,ak11776751,2015-11-06T15:14:41.153Z,"23km NE of Fritz Creek, Alaska",earthquake
2015-11-06T06:30:53.300Z,18.9155,-64.6455,94,2.8,Md,3,338.4,0.63241396,0.31,pr,pr15310003,2015-11-06T14:33:33.374Z,"55km N of Road Town, British Virgin Islands",earthquake
2015-11-06T06:11:49.220Z,-6.2574,147.5492,77.12,5,mb,,61,3.15,1.19,us,us10003v4s,2015-11-06T14:14:25.083Z,"51km NW of Finschhafen, Papua New Guinea",earthquake
2015-11-06T06:03:59.200Z,19.3558,-67.6605,79,3.4,Md,14,259.2,0.98006197,0.82,pr,pr15310002,2015-11-06T14:06:36.633Z,"112km NNW of San Antonio, Puerto Rico",earthquake
2015-11-06T04:57:05.790Z,-30.4041,-72.0368,9.01,4.6,mb,,91,0.438,0.9,us,us10003v47,2015-11-06T21:05:10.040Z,"83km SW of Coquimbo, Chile",earthquake
2015-11-06T04:03:04.260Z,44.4759,6.7234,3.31,4.1,mb,,85,0.576,0.69,us,us10003v3y,2015-11-06T18:02:14.413Z,"6km N of Jausiers, France",earthquake
2015-11-06T03:30:38.350Z,33.7525,-119.1865,5.77,2.89,ml,38,78,0.3012,0.19,ci,ci37486232,2015-11-06T04:38:28.352Z,"33km NNW of Santa Barbara Is., California",earthquake
2015-11-06T03:13:51.330Z,-14.717,-75.8553,50.92,4.4,mb,,154,7.318,1.25,us,us10003v3q,2015-11-06T11:16:34.265Z,"60km SSW of Santiago, Peru",earthquake
2015-11-06T02:17:36.000Z,52.2732,-169.453,40.9,3.2,ml,,,,0.31,ak,ak11775978,2015-11-06T18:36:06.067Z,"83km SSW of Nikolski, Alaska",earthquake
2015-11-06T01:31:17.190Z,52.2553,-169.4004,44.23,4.7,mb,,130,2.364,1.25,us,us10003v31,2015-11-06T15:24:22.328Z,"84km SSW of Nikolski, Alaska",earthquake
2015-11-06T01:19:36.000Z,64.6666,-151.3475,6.4,2.7,ml,,,,0.73,ak,ak11775701,2015-11-06T09:22:07.549Z,"50km SW of Manley Hot Springs, Alaska",earthquake
2015-11-06T01:09:55.300Z,52.2719,-169.5892,11.61,5.5,mb,,60,2.439,0.79,us,us10003v2p,2015-11-06T18:24:18.000Z,"85km ESE of Yunaska Island, Alaska",earthquake
2015-11-06T01:04:03.200Z,18.1063,-67.5456,135,3,Md,4,302.4,0.42669976,0.18,pr,pr15310000,2015-11-06T09:06:30.973Z,"38km W of Puerto Real, Puerto Rico",earthquake
2015-11-06T00:52:49.000Z,60.0446,-153.5578,163.7,3.9,ml,,,,0.81,ak,ak11775669,2015-11-06T08:55:28.605Z,"18km SW of Redoubt Volcano, Alaska",earthquake
2015-11-06T00:45:44.210Z,36.4623337,-121.0426636,7.23,2.87,md,67,57,0.05467,0.07,nc,nc72548895,2015-11-06T01:59:06.046Z,"23km NE of Greenfield, California",earthquake
2015-11-06T00:31:23.320Z,36.9076,-97.8296,3.95,2.6,mb_lg,,43,0.06,0.62,us,us10003v28,2015-11-06T08:34:08.126Z,"14km NW of Medford, Oklahoma",earthquake
2015-11-05T23:30:13.460Z,43.0261,146.4696,31,4.7,mb,,125,2.648,0.62,us,us10003v1x,2015-11-06T07:32:42.104Z,"79km ESE of Nemuro, Japan",earthquake
2015-11-05T23:06:36.000Z,52.9472,-162.0307,39.9,3.9,mb,,,,0.86,us,us10003v20,2015-11-06T07:09:10.197Z,"230km SSE of False Pass, Alaska",earthquake
2015-11-05T22:53:53.540Z,39.3993,-114.7907,3.5,2.9,ml,,171,0.521,0.75,us,us10003v1m,2015-11-06T06:56:23.536Z,"1km WSW of McGill, Nevada",earthquake
2015-11-05T21:58:28.370Z,36.7348,-97.8727,3.36,2.6,mb_lg,,44,0.078,0.32,us,us10003v0j,2015-11-06T06:01:07.259Z,"14km WSW of Medford, Oklahoma",earthquake
2015-11-05T21:18:16.380Z,36.5470009,-121.0361633,7.25,3.2,ml,76,52,0.03154,0.15,nc,nc72548865,2015-11-05T23:15:16.040Z,"29km ENE of Soledad, California",earthquake
